id;nom_entreprise;type_activite;licence;adresse_physique
1;victoriously phrase bah;if;typewriter helpfully;step-mother notarize
2;overcooked including;till astride;elegant pish hold;self-assured recklessly
3;swiftly beyond until;athwart geez than;sway;inborn
4;towards since fatally;aha equatorial;which;following negligible scoop
5;spew;oof;trash on;duh
6;hence warped intensely;guidance briskly;parade decent frilly;or instead
7;jacket;ugh;on svelte along;next rekindle oh
8;teeming;wonderfully colon finally;whereas;because whoever amongst
9;zowie;plastic;tall hygienic forenenst;when
10;or nice swathe;obnoxiously behind clavicle;tag;positively
