id;nom;description;prix;quantite;type;statut;image_url;date_ajout
1;sad scheme;down who psst;12334.6;30275;DECHET;VENDU;genuine unless secret;2025-05-01T08:59:24
2;chromakey restaurant;unfortunately against rare;29903.11;19917;PRODUIT;VENDU;optimal um flowery;2025-05-01T01:14:51
3;except;since;4640.45;1065;PRODUIT;VENDU;modulo wasteful adventurously;2025-05-01T16:21:25
4;presell cease;chunter grouchy;225.44;6885;PRODUIT;VENDU;although yahoo blaring;2025-05-01T03:39:44
5;that;briskly small furthermore;14118.01;27833;PRODUIT;OUVERT;psst whoa;2025-05-01T01:50:23
6;mid during;pro atop;18840.84;8013;PRODUIT;VENDU;indeed;2025-05-01T04:13:59
7;throughout quietly;aw see;3577.76;9146;PRODUIT;OUVERT;tomatillo outlandish decryption;2025-05-01T08:32:42
8;conceal;greedy;5506.04;24034;PRODUIT;OUVERT;carefully;2025-04-30T18:30:58
9;around;bah;14921.76;21335;DECHET;OUVERT;whenever;2025-05-01T05:07:16
10;yahoo mortar;oddly weakly;14500.5;9217;PRODUIT;VENDU;duh;2025-05-01T04:59:37
